name,organism,domain,phylum,accession,length
Escherichia_coli,Escherichia coli,Bacteria,Pseudomonadota,NR_114042.1,1467
Salmonella_enterica,Salmonella enterica,Bacteria,Pseudomonadota,NR_074910.1,1544
Klebsiella_pneumoniae,Klebsiella pneumoniae,Bacteria,Pseudomonadota,NR_119278.1,1452
Yersinia_pestis,Yersinia pestis,Bacteria,Pseudomonadota,NR_025160.1,1461
Serratia_marcescens,Serratia marcescens,Bacteria,Pseudomonadota,NR_114043.1,1467
Proteus_mirabilis,Proteus mirabilis,Bacteria,Pseudomonadota,NR_114419.1,1497
Vibrio_cholerae,Vibrio cholerae,Bacteria,Pseudomonadota,NR_117894.1,1461
Aeromonas_hydrophila,Aeromonas hydrophila,Bacteria,Pseudomonadota,NR_119190.1,1538
Pseudomonas_aeruginosa,Pseudomonas aeruginosa,Bacteria,Pseudomonadota,NR_117678.1,1527
Pseudomonas_putida,Pseudomonas putida,Bacteria,Pseudomonadota,NR_114794.1,1371
Acinetobacter_baumannii,Acinetobacter baumannii,Bacteria,Pseudomonadota,NR_119358.1,1416
Haemophilus_influenzae,Haemophilus influenzae,Bacteria,Pseudomonadota,NR_044682.2,1486
Neisseria_meningitidis,Neisseria meningitidis,Bacteria,Pseudomonadota,NR_104946.1,1415
Bordetella_pertussis,Bordetella pertussis,Bacteria,Pseudomonadota,NR_025951.1,1464
Burkholderia_cepacia,Burkholderia cepacia,Bacteria,Pseudomonadota,NR_116149.1,1313
Ralstonia_solanacearum,Ralstonia solanacearum,Bacteria,Pseudomonadota,NR_118984.1,1434
Legionella_pneumophila,Legionella pneumophila,Bacteria,Pseudomonadota,NR_104921.1,1510
Coxiella_burnetii,Coxiella burnetii,Bacteria,Pseudomonadota,NR_104916.1,1465
Francisella_tularensis,Francisella tularensis,Bacteria,Pseudomonadota,NR_115348.1,1450
Agrobacterium_tumefaciens,Agrobacterium tumefaciens,Bacteria,Pseudomonadota,NR_174322.1,1485
Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bacteria,Pseudomonadota,NR_112552.1,1400
Caulobacter_vibrioides,Caulobacter vibrioides,Bacteria,Pseudomonadota,NR_037099.1,1458
Rhodobacter_sphaeroides,Rhodobacter sphaeroides,Bacteria,Pseudomonadota,NR_115745.1,1389
Brucella_melitensis,Brucella melitensis,Bacteria,Pseudomonadota,NR_118257.1,1400
Rickettsia_prowazekii,Rickettsia prowazekii,Bacteria,Pseudomonadota,NR_044656.2,1498
Desulfovibrio_vulgaris,Desulfovibrio vulgaris,Bacteria,Thermodesulfobacteriota,NR_118708.1,1388
Geobacter_sulfurreducens,Geobacter sulfurreducens,Bacteria,Thermodesulfobacteriota,NR_029179.1,1408
Myxococcus_xanthus,Myxococcus xanthus,Bacteria,Myxococcota,NR_112544.1,1463
Bdellovibrio_bacteriovorus,Bdellovibrio bacteriovorus,Bacteria,Bdellovibrionota,NR_027553.1,1294
Helicobacter_pylori,Helicobacter pylori,Bacteria,Campylobacterota,NR_044761.1,1503
Campylobacter_jejuni,Campylobacter jejuni,Bacteria,Campylobacterota,NR_118520.1,1435
Bacillus_subtilis,Bacillus subtilis,Bacteria,Bacillota,NR_102783.2,1550
Bacillus_cereus,Bacillus cereus,Bacteria,Bacillota,NR_115714.1,1535
Staphylococcus_aureus,Staphylococcus aureus,Bacteria,Bacillota,NR_037007.2,1552
Staphylococcus_epidermidis,Staphylococcus epidermidis,Bacteria,Bacillota,NR_113957.1,1476
Streptococcus_pneumoniae,Streptococcus pneumoniae,Bacteria,Bacillota,NR_117496.1,1426
Streptococcus_pyogenes,Streptococcus pyogenes,Bacteria,Bacillota,NR_112088.1,1501
Enterococcus_faecalis,Enterococcus faecalis,Bacteria,Bacillota,NR_115765.1,1483
Lactococcus_lactis,Lactococcus lactis,Bacteria,Bacillota,NR_040956.1,1499
Listeria_monocytogenes,Listeria monocytogenes,Bacteria,Bacillota,NR_044823.1,1469
Clostridium_perfringens,Clostridium perfringens,Bacteria,Bacillota,NR_121697.2,1513
Clostridioides_difficile,Clostridioides difficile,Bacteria,Bacillota,NR_113132.1,1464
Veillonella_parvula,Veillonella parvula,Bacteria,Bacillota,NR_119168.1,1513
Mycoplasma_genitalium,Mycoplasma genitalium,Bacteria,Mycoplasmatota,NR_074611.1,1519
